Parameter Value Listing:
 No   Type     Value
0000  Long               0
0001  Long              30
0002  Long            2500
0003  Long            2500
0004  Long            2500
0005  Long            3000
0006  Long               0
0007  Long               0
0008  Long               0
0009  Long               0
0010  Long             230
0011  Long             230
0012  Long             230
0013  Long             230
0014  Long               0
0015  Long               7
0016  Long               0
0017  Long               0
0018  Long               0
0019  Long               1
0020  Long               0
0021  Long             100
0022  Long               1
0023  Long               0
0024  Long               1
0025  Long               2
0026  Long               3
0027  Long               4
0028  Long               7
0029  Long               6
0030  Long          128000
0031  Long            6000
0032  Long               0
0033  Long               0
0034  Long             100
0035  Long             100
0036  Long             100
0037  Long             100
0038  Long              16
0039  Long               0
0040  Long              10
0041  Long               0
0042  Long               1
0043  Long              42
0044  Long               0
0045  Long               0
0046  Long               0
0047  Long               0
0048  Long               0
0049  Long               1
0050  Long               1
0051  Long               1
0052  Long               1
0053  Long               4
0054  Long               4
0055  Long               4
0056  Long               4
0057  Long               1
0058  Long               0
0059  Long               0
0060  Long               0
0061  Long               0
0062  Long               0
0063  Long               1
0064  Long               0
0065  Long               0
0066  Long               0
0067  Long               0
0068  Long               1
0069  Long               1
0070  Long               1
0071  Long               0
0072  Long               1
0073  Long               1
0074  Long               0
0075  Long               7
0076  Long               1
0077  Long               1
0078  Long               0
0079  Long               1
0080  Long               1
0081  Long               1
0082  Long               1
0083  Long               1
0084  Long               0
0085  Long               0
0086  Long               0
0087  Long               7
0088  Long               7
0089  Long              97
0090  Long               0
0091  Long               0
0092  Long               0
0093  Long               0
0094  Long               1
0095  Long            5000
0096  Long               0
0097  Long               0
0098  Long               0
0099  Long               0
0100  Long               1
0101  Long               1
0102  Long               1
0103  Long             100
0104  Long            5000
0105  Long            5000
0106  Long            5000
0107  Long             360
0108  Long             200
0109  Long             200
0110  Long             200
0111  Long             200
0112  Long              12
0113  Long              13
0114  Long              11
0115  Long               9
0116  Long              44
0117  Long               0
0118  Long               5
0119  Long              31
0120  Long              58
0121  Long               0
0122  Long               1
0123  Long               0
0124  Long               1
0125  Long               0
0126  Long               0
0127  Long               0
0128  Long               0
0129  Long              50
0130  Long               1
0131  Long               0
